--- Emotion Distribution ---
neutral: 13886 (28.43%)
admiration: 3997 (8.18%)
approval: 2898 (5.93%)
gratitude: 2619 (5.36%)
amusement: 2216 (4.54%)
curiosity: 2137 (4.37%)
annoyance: 2062 (4.22%)
love: 2026 (4.15%)
disapproval: 1963 (4.02%)
optimism: 1538 (3.15%)
joy: 1420 (2.91%)
confusion: 1338 (2.74%)
sadness: 1287 (2.63%)
disappointment: 1183 (2.42%)
realization: 1088 (2.23%)
caring: 1064 (2.18%)
anger: 1058 (2.17%)
surprise: 1019 (2.09%)
excitement: 825 (1.69%)
disgust: 718 (1.47%)
desire: 621 (1.27%)
fear: 579 (1.19%)
remorse: 527 (1.08%)
embarrassment: 287 (0.59%)
nervousness: 159 (0.33%)
relief: 151 (0.31%)
pride: 107 (0.22%)
grief: 75 (0.15%)
